"species","gamma_mean","epsilon_mean","gamma_baseline","epsilon_baseline","gamma_lo","gamma_hi","epsilon_lo","epsilon_hi","psi_star"
"otitar",0.00206260558274903,0.26426506973986,4.54840009386186e-05,0.222390981652645,8.55496398207272e-07,0.00234464692769343,0.108792192655529,0.39545825559639,0.000204480865153892
"ptealc",0.00169489951285636,0.485053435797296,0.00137120428971557,0.489399033296083,0.000507367185742878,0.00381345766713988,0.0225328111347355,0.975450174251858,0.00279398420014387
"pteori",0.0023076978691048,0.43100442229987,3.82321857674696e-07,0.440630063661829,1.83727553385763e-10,0.000810421689799647,0.286266429022457,0.613285517532238,8.6767008761998e-07
"tettet",0.00107253565920424,0.150219319546639,0.000679011517627045,0.137513701511766,0.000215992392660091,0.00216317537295581,0.0796461194866941,0.222983383497136,0.00491351173836946
