"species","gamma_mean","gamma_lo","gamma_hi","epsilon_mean","epsilon_lo","epsilon_hi","psi_star_mean","psi_star_lo","psi_star_hi","dgc_mean","dgc_sd","dgl_mean","dgl_sd","dec_mean","dec_sd","del_mean","del_sd","gamma_excluded"
"otitar",0.000345466552729006,7.8549412231887e-07,0.00207909658524892,0.230788629147068,0.112560134974019,0.398507033738929,0.00142404878294631,4.34153796461537e-06,0.00899691841643449,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ptealc",0.0015943281983134,0.000553857731293153,0.00378827968348383,0.489404681459925,0.0256579717619352,0.966691687634508,0.00953068809470784,0.000812126565559447,0.0490784506313781,0,0,0,0,NA,NA,NA,NA,TRUE
"pteori",0.234412235725268,NA,NA,0.998210816831974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"tettet",0.000810408259669731,0.000215447621051831,0.00217082791049678,0.141968588636426,0.0837548477325339,0.222965919161404,0.00589150025670931,0.00149565697956466,0.0165178724984377,0,0,-1.04082935251774e-06,0.000111713906295355,0,0,9.03286648578128e-06,0.00524982216836069,FALSE
