"Species","Type","Parameter","Mean","SD","Q2.5","Q50","Q97.5","Rhat","ESS"
"Otis tarda","beta","(Intercept)",-8.18027666353924,1.75756756540975,-10.3006394035183,-8.56388414152416,-2.79196652876676,3.31670622455427,9.29550424888128
"Otis tarda","beta","bio1",-0.0219096901447044,0.757208323985675,-1.53209265149024,-0.0259703800377613,1.44667570867661,1.05742296805584,473.169823115447
"Otis tarda","beta","bio2",1.61317151787644,0.652741524338282,0.351886743716515,1.60218552122446,2.94703929026499,1.04344119454457,226.671966765376
"Otis tarda","beta","tree_cover",-3.69797967593333,0.564915286180289,-4.80037238799041,-3.70593482761585,-2.61519474908685,1.00318737754112,185.041368145897
"Otis tarda","beta","grass_cover",-0.411158337394074,0.297759522951578,-1.03907808563349,-0.392867338279985,0.151252461045832,1.00341647319874,398.345461877597
"Otis tarda","beta","topo_elev",0.886314561920516,0.662379288510439,-0.421912951536655,0.891535555187985,2.12144357510922,1.00214653707724,417.547407043023
"Otis tarda","beta","NDVI",0.614060404198395,0.252287535651708,0.134372665743481,0.611433447911248,1.10910521797659,1.00161082999593,870.265284366286
"Otis tarda","beta","tmmx",0.414058182520911,0.821289036285051,-1.14473186904828,0.419579885239662,2.01491284475559,1.05405147178928,649.074666660307
"Otis tarda","alpha","(Intercept)",-0.705671991938835,0.0815817429344481,-0.868213608819199,-0.706335034610832,-0.540721546786388,1.0020705776249,1318.47198628628
"Otis tarda","alpha","duration",0.134435484905512,0.0661228264643009,0.00852840131150713,0.13504640827166,0.258232011038342,1.01061185463865,1389.03380235475
"Otis tarda","alpha","observers",0.176944504969353,0.0496199125491446,0.0774537127023893,0.176869892692883,0.27530561365183,0.999929363412728,1500
"Otis tarda","theta","sigma.sq",10.6945348688323,2.84857053212416,6.69642096357552,10.0982104072729,17.9988855099853,1.01095096688238,48.476981785349
"Otis tarda","theta","phi",6.51076778257991e-05,1.4883578177968e-05,3.89530281632274e-05,6.42588757980688e-05,9.92968786573831e-05,1.25830115760811,55.9651053868897
