"species","scenario","label","sim","gamma_true","epsilon_true","psi1_true","p_true","converged","boundary","gamma_hat","epsilon_hat","psi1_hat","p_hat","aic","bias_gamma","bias_epsilon","bias_p","rel_bias_gamma","rel_bias_epsilon","ci_covers_gamma","ci_covers_epsilon","ratio_hat","ratio_true","regime_hat","regime_true","regime_correct","underest_10x","underest_100x"
"otitar","A","Empirical",1,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000189303345020036,1,0.00320529526916698,0.420945156851112,55.8367618414284,0.000143819344081417,0.777609018347355,0.212551305731846,3.16197654369727,3.49658521478138,FALSE,FALSE,5282.52683487532,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",2,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,1,1,1,5.60789811684708e-05,29.5774436701235,0.999954515999061,0.777609018347355,-0.208337772138097,21984.7527782025,3.49658521478138,FALSE,FALSE,1,4889.43314271682,"growth","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",3,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,8.33598632101039e-22,8.37589598658432e-14,0.000898752088400622,0.145060004323287,78.0560061639844,-4.54840009386186e-05,-0.222390981652561,-0.0633338467959786,-1,-0.999999999999623,FALSE,FALSE,8375895.98658432,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",4,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",5,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.0341866840286055,1,3.82761174386969e-14,0.0010017340826471,30.6360089745447,0.0341412000276669,0.777609018347355,-0.207392117036619,750.619983359445,3.49658521478138,FALSE,FALSE,29.2511551913972,4889.43314271682,"asymmetric","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",6,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",7,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000630084543983547,1,3.20544602185216e-14,0.317769757473537,75.8012444489046,0.000584600543044928,0.777609018347355,0.109375906354271,12.8528830133887,3.49658521478138,FALSE,FALSE,1587.08860509061,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",8,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.000232646567457744,4.22359335354824e-05,1.58836313886545e-07,0.131904184005591,68.6174822406808,0.000187162566519125,-0.222348745719109,-0.0764896671136742,4.11490991682337,-0.999810082525732,FALSE,TRUE,0.181545483335592,4889.43314271682,"growth","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",9,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,1,1,3.75569330694254e-14,0.000143369162545225,47.4000636747012,0.999954515999061,0.777609018347355,-0.20825048195672,21984.7527782025,3.49658521478138,FALSE,FALSE,1,4889.43314271682,"growth","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",10,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
