"year","mean_occ","sd_occ","mean_col","sd_col","mean_ext","sd_ext"
"2017",7.74159103043247e-05,0.000144866093627813,0.00111178367576757,0.00105464045772475,0.0813079183354077,0.0732919997641079
"2018",0.00120074746396156,0.000561667914681533,0.00111087086230336,0.00105090939105115,0.0824084982255403,0.0749312723698062
"2019",0.00222851041110518,0.000756134493249873,0.00111536891930759,0.00107308934594554,0.0796246624647833,0.0717313434028168
"2020",0.00327335824879872,0.000931262426544346,0.00110754907953294,0.00103574066734524,0.0852016811726812,0.0789088011850796
"2021",0.00420608649225841,0.00108612066481559,0.00110762462482405,0.00103538160962502,0.0848499698257191,0.0783380843990448
"2022",0.00516978109983982,0.0011999296216821,0.0011083987774673,0.00103937426948719,0.0842756887793184,0.07757809281356
"2023",0.0061526962092899,0.00131404529294215,0.0011152344322976,0.00107028018418124,0.0784755170115617,0.0698018018956456
