param,Estimate,SE,z,Pval,type,model,species,species_name
Int,-0.0424102223533207,1.87207536461734,-0.0226541212789205,0.981926172348686,ext,v1,ptealc,
pr,-11.6568659420952,11.601701445399,-1.00475486263422,0.315014903377173,ext,v1,ptealc,
tmmx,-17.618919776124,14.7446445732225,-1.1949368930955,0.232111687194972,ext,v1,ptealc,
Int,-1.07459425226147,0.212443697742971,-5.05825432186548,4.23111904430673e-07,det,v1,ptealc,
time,-0.366974013863086,0.0712831401229404,-5.14811795931231,2.63113020216188e-07,det,v1,ptealc,
duration,0.896166624694303,0.0940208317560493,9.53157516218893,1.54914575143292e-21,det,v1,ptealc,
effort,0.196471340690454,0.0745510470450462,2.63539344486656,0.00840398073830624,det,v1,ptealc,
observers,0.110383654667097,0.0765136679924223,1.44266583426675,0.149114628109299,det,v1,ptealc,
NDVI_obs,-0.158706698132234,0.137691491125043,-1.15262531355773,0.24906420858948,det,v1,ptealc,
pr_obs,-0.29161495453551,0.186628969684557,-1.56253852244055,0.118161178186003,det,v1,ptealc,
Int,-6.00552130685658,0.694039362260622,-8.65299813442198,5.01638449901027e-18,psi,v2,ptealc,
bio1,-0.443412107789612,0.194547811713277,-2.27919349945251,0.0226555653547672,psi,v2,ptealc,
bio2,1.21716716769318,0.26213010834181,4.64337033007301,3.42771152460923e-06,psi,v2,ptealc,
tree_cover,-4.15452845185579,0.701076224307093,-5.92592974602998,3.10535336605066e-09,psi,v2,ptealc,
grass_cover,0.424710426817304,0.146028721107873,2.90840338527355,0.00363279408095118,psi,v2,ptealc,
topo_aspect,-0.163491500082345,0.125099504808538,-1.30689166461982,0.191249507395631,psi,v2,ptealc,
Int,-6.47771074295545,0.537771967959452,-12.0454600256216,2.04929954844449e-33,col,v2,ptealc,
pr,-0.711410459917722,0.494135044395755,-1.43970857356952,0.149949866715662,col,v2,ptealc,
Int,-2.06328177327595,2.89933868955079,-0.711638754282835,0.476688502362716,ext,v2,ptealc,
pr,-25.0281163504841,16.444386046969,-1.52198545321169,0.128012725661742,ext,v2,ptealc,
tmmx,-34.2584340235246,21.5810345069699,-1.58743242880504,0.112414739518994,ext,v2,ptealc,
Int,-1.68494351851247,0.234541087448334,-7.18400147643058,6.77001325408237e-13,det,v2,ptealc,
time,-0.370261719700878,0.0722777810175465,-5.12275991996753,3.0109562031104e-07,det,v2,ptealc,
duration,1.10909587177789,0.101828908396199,10.8917584332985,1.26180092281902e-27,det,v2,ptealc,
effort,0.213648586648834,0.077281379777593,2.76455450541502,0.00570005834216229,det,v2,ptealc,
observers,0.082192982417049,0.0751285821792701,1.09403079404483,0.273941472736349,det,v2,ptealc,
NDVI_obs,-0.29834881982101,0.12863857565027,-2.31927956534695,0.0203798826983552,det,v2,ptealc,
pr_obs,-0.101863887974521,0.190927193904238,-0.533522155181373,0.593672178717315,det,v2,ptealc,
stepRep_obs,0.628045949516644,0.0784767528642526,8.0029553542184,1.21467990757844e-15,det,v2,ptealc,
Int,-5.63187864523635,0.572845999103047,-9.83140085477538,8.24636015901417e-23,psi,v1,pteori,
bio2,0.359095744538591,0.204579714302631,1.75528519903682,0.0792105368888594,psi,v1,pteori,
tree_cover,-3.95356320988732,0.603465371786602,-6.55143342886853,5.69873915391411e-11,psi,v1,pteori,
grass_cover,0.884507135319293,0.143586465916272,6.16010102118583,7.2698553155732e-10,psi,v1,pteori,
Int,-14.7770026414139,3.80505620664709,-3.88351757211887,0.000102956087585472,col,v1,pteori,
Land_Cover_Type_1_Percent_Class_7,-9.80025234483885,6.46305465955412,-1.51634990899411,0.129430897887204,col,v1,pteori,
NDVI,-0.562968322585581,0.492324694112582,-1.14348991492359,0.252835239584054,col,v1,pteori,
tmmn,-8.10498355881227,2.66988130089469,-3.03570932389251,0.00239970587150497,col,v1,pteori,
tmmx,9.13506729052883,2.68218107032646,3.40583541938762,0.000659619304571279,col,v1,pteori,
Int,-0.238605371132828,0.349001265646311,-0.683680532478751,0.494176919063303,ext,v1,pteori,
Land_Cover_Type_1_Percent_Class_12,-0.831115364514585,0.263135862010834,-3.15850282877964,0.00158581770317209,ext,v1,pteori,
NDVI,2.04659054018079,0.556652548440915,3.67660319873309,0.000236360261792002,ext,v1,pteori,
pr,1.68740546461617,0.734004758149149,2.2989026241071,0.0215104693720392,ext,v1,pteori,
Int,-1.58457456693253,0.157299688566716,-10.0736026966796,7.22808517333779e-24,det,v1,pteori,
